session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Current UK area of residence,Employment Status,First Language,Nationality,Sex,Student Status
5ef0ed212605d8089adb8914,58dc21fabd5abb000185ee39,APPROVED,2020-06-22 17:48:17.780000,2020-06-22 17:52:08.445000,230.665,48,351,2,100,2020-06-22 17:52:09.785000,Manual Completion,United Kingdom,United Kingdom,"London, England ","Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Female,No
5ef10beb5c77a32fe0be358b,5cec500b0afd6e0018a9e758,APPROVED,2020-06-22 19:52:16.892000,2020-06-22 20:23:47.693000,1890.801,29,35,0,100,2020-06-22 20:23:49.154000,Manual Completion,Poland,United Kingdom,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",Full-Time,Polish,Poland,Female,No
5ef12299ca9f8a1f58a5961f,5c014c41d9f38a00014b1b31,APPROVED,2020-06-22 21:34:29.100000,2020-06-22 23:10:01.405000,5732.305,44,253,1,100,2020-06-23 07:25:55.474000,6668AF37,United Kingdom,United Kingdom,Scotland,Full-Time,English,United Kingdom,Male,No
5ef1fdfee70cea8575c9b32d,5bdf0332712eb800010d7f1c,APPROVED,2020-06-23 13:05:04.054000,2020-06-23 14:53:45.916000,6521.862,20,176,7,95,2020-06-23 15:26:02.495000,6668AF37,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Part-Time,English,United Kingdom,Male,Yes
5ef21f0ae54f7c0e4a9df464,5ec6fb15011f37132e7fecc8,APPROVED,2020-06-23 15:26:04.409000,2020-06-23 16:32:45.715000,4001.306,25,51,0,100,2020-06-24 07:27:05.389000,6668AF37,New Zealand,United Kingdom,Scotland,Part-Time,English,New Zealand,Male,No
5ef30092eb0c910009da7d5b,5aed7ebd75deca0001626f9a,APPROVED,2020-06-24 07:36:42.299000,2020-06-24 09:01:21.858000,5079.559,48,313,0,100,2020-06-24 13:27:12.014000,6668AF37,United Kingdom,United Kingdom,"Yorkshire and the Humber, England (East Riding, North Lincolnshire and Yorkshire)",Part-Time,English,United Kingdom,Female,No
5ef30093ab8ba30008a417cc,5ed621a12006c60195b21e6a,REJECTED,2020-06-24 07:30:29.130000,2020-06-24 08:22:42.528000,3133.398,27,18,1,99,2020-06-25 08:51:09.123000,NOCODE,United Kingdom,United Kingdom,"East Midlands, England (Derbyshire and Nottinghamshire, Leicestershire, Rutland and Northamptonshire, Lincolnshire)",Full-Time,English,United Kingdom,Female,Yes
5ef3009d113e860009e1f270,5e5d52b716e0c1051eeec555,APPROVED,2020-06-24 07:28:29.361000,2020-06-24 09:33:56.986000,7527.625,32,189,0,100,2020-06-24 13:27:14.900000,6668AF37,United States,United Kingdom,"East Midlands, England (Derbyshire and Nottinghamshire, Leicestershire, Rutland and Northamptonshire, Lincolnshire)",Unemployed (and job seeking),English,United States,Male,No
5ef354c4520ed9088856eae4,5e1752b587b37c0605b26aca,RETURNED,2020-06-24 13:37:32.289000,,516067.060376,23,67,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ef354c6f4c524079f60bf54,5ee7600156288d02364244f9,APPROVED,2020-06-24 13:27:36.685000,2020-06-24 13:41:04.432000,807.747,31,20,1,99,2020-06-26 08:37:06.713000,NOCODE,United Kingdom,United Kingdom,"Yorkshire and the Humber, England (East Riding, North Lincolnshire and Yorkshire)",Full-Time,English,United Kingdom,Female,No
5ef354d103eea00864071985,5eac35df3043c62536d14f14,APPROVED,2020-06-24 13:27:58.598000,2020-06-24 15:21:46.757000,6828.159,20,49,2,98,2020-06-26 08:37:07.844000,6668AF37,Poland,United Kingdom,"London, England ",Other,English,Poland,Male,Yes
5ef46f077c0ee2029be0fdbb,56ce42d9465e580006846f57,APPROVED,2020-06-25 09:31:57.957000,2020-06-25 10:29:01.489000,3423.532,52,1881,19,99,2020-06-26 08:37:10.370000,6668AF37,United Kingdom,United Kingdom,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)",Full-Time,English,United Kingdom,Male,No
