session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Current UK area of residence,Employment Status,First Language,Nationality,Sex,Student Status
6064619d17e48f8f3a95d2e1,601955b543f342017bda7d8c,APPROVED,2021-03-31 11:49:03.113000,2021-03-31 12:54:11.602000,3908.489,26,21,0,100,2021-03-31 17:30:17.810000,6668AF37,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Full-Time,,United Kingdom,Female,No
606461e2927ea86c146c79f7,56896501d3d6a7000ca23da8,RETURNED,2021-03-31 11:49:58.414000,,176386.753865,31,688,4,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60646294f8e3af634d7e2600,5d93686626c7830019c697c2,APPROVED,2021-03-31 11:52:55.845000,2021-03-31 13:03:25.230000,4229.385,21,72,0,100,2021-03-31 17:30:23.848000,NOCODE,Italy,United Kingdom,"East Midlands, England (Derbyshire and Nottinghamshire, Leicestershire, Rutland and Northamptonshire, Lincolnshire)",Other,Italian,Italy,Female,Yes
606464fed3fe5d0a0d12a63a,5eedec89a08bcd222d7c447c,APPROVED,2021-03-31 12:08:30.588000,2021-03-31 13:49:13.429000,6042.841,19,56,0,100,2021-03-31 17:30:25.105000,6668AF37,United Kingdom,United Kingdom,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",Unemployed (and job seeking),English,United Kingdom,Male,Yes
60646526183069819754911f,5f21c3f496c01314340fc6a7,TIMED-OUT,2021-03-31 12:03:51.596000,,175553.595934,26,27,0,100,,,Poland,United Kingdom,Wales,Full-Time,Polish,Poland,Female,No
6064654caed549b0c8f1d3a3,5dbc7e006effa1222568f703,APPROVED,2021-03-31 12:04:41.591000,2021-03-31 12:58:59.786000,3258.195,22,296,0,100,2021-03-31 17:30:31.784000,6668AF37,United Kingdom,United Kingdom,Northern Ireland,Unemployed (and job seeking),English,United Kingdom,Male,No
60646d790f97827df21f9d0b,605b6439f75b7f2bab0597c4,RETURNED,2021-03-31 12:39:25.876000,,173419.339694,22,9,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60646d859e155a23337c9209,5db8b0df497a6e000afdf49a,APPROVED,2021-03-31 12:47:12.162000,2021-03-31 14:22:00.288000,5688.126,21,32,1,99,2021-03-31 17:31:05.298000,6668AF37,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",DATA EXPIRED,DATA EXPIRED,United Kingdom,Female,Yes
60646d8be2b60155724af3dd,605e0a360c306da403b1c8fb,APPROVED,2021-03-31 12:39:43.394000,2021-03-31 14:07:58.485000,5295.091,20,9,0,100,2021-03-31 17:31:04.606000,6668AF37,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)","Not in paid work (e.g. homemaker', 'retired or disabled)",,United Kingdom,Male,Yes
60646d9089264dc721497c65,5f0392eaa2ece25aa44014f8,APPROVED,2021-03-31 12:39:45.966000,2021-03-31 13:51:32.748000,4306.782,21,201,1,100,2021-03-31 17:31:03.978000,6668AF37,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Other,English,United Kingdom,Female,No
60646d96d4d122f1efd28f24,5e277e5b5f39769bacb46101,APPROVED,2021-03-31 12:39:57.602000,2021-03-31 14:11:23.792000,5486.19,46,276,1,100,2021-03-31 17:31:03,6668AF37,United Kingdom,United Kingdom,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)",Full-Time,English,United Kingdom,Female,No
60646df04019325f97440a57,60116603068a8c02717bc582,APPROVED,2021-03-31 12:41:24.802000,2021-03-31 13:46:00.595000,3875.793,20,13,0,100,2021-03-31 17:31:02.303000,6668AF37,Russian Federation,United Kingdom,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Unemployed (and job seeking),,Russian Federation,Male,Yes
606487832750a6267f18340b,5c8017354f7eca00010a38f2,APPROVED,2021-03-31 14:31:10.932000,2021-03-31 15:54:05.486000,4974.554,20,189,2,100,2021-03-31 17:31:01.925000,6668AF37,United Kingdom,United Kingdom,Scotland,Unemployed (and job seeking),English,United Kingdom,Male,Yes
60649ecacc0549cfdcae3af3,5985bb33fd8cca00015cb957,APPROVED,2021-03-31 16:10:13.039000,2021-03-31 17:23:11.056000,4378.017,22,90,2,99,2021-03-31 17:31:00.562000,6668AF37,Bosnia and Herzegovina,United Kingdom,Wales,Other,Croatian,United Kingdom,Female,Yes
6064bc5885809b1584b311be,5ffcd1eacfbe9e161495d884,APPROVED,2021-03-31 18:16:04.566000,2021-03-31 19:31:50.283000,4545.717,40,86,0,100,2021-04-01 07:47:31.903000,6668AF37,United Kingdom,United Kingdom,Scotland,Full-Time,DATA EXPIRED,United Kingdom,Male,Yes
6064d3ef429422de14cd4297,5f6a0de66f4709043c1ff80c,APPROVED,2021-03-31 19:56:31.892000,2021-03-31 21:52:24.277000,6952.385,19,139,0,100,2021-04-01 07:49:27.742000,6668AF37,India,United Kingdom,"London, England ",Other,DATA EXPIRED,United Kingdom,Male,Yes
6064d3f06935a93098b75049,6034cb7ee10e21aaad71814a,APPROVED,2021-03-31 19:57:35.752000,2021-03-31 21:42:18.867000,6283.115,23,48,0,100,2021-04-01 07:54:38.938000,6668AF37,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Full-Time,DATA EXPIRED,United Kingdom,Female,No
6064d3f120191342945943ea,5ace533135eccf0001a11a10,RETURNED,2021-03-31 19:58:03.323000,,147102.167357,25,139,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6064d3f2734f07c212f545d9,5eeb70315302e82ef7696b8a,TIMED-OUT,2021-03-31 19:56:41.488000,,147184.002483,20,168,4,99,,,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Part-Time,English,United Kingdom,Female,Yes
6064d3f55d84dad1058b1e7d,5db0b41da540ef001628a2e0,APPROVED,2021-03-31 19:57:05.693000,2021-03-31 20:13:01.883000,956.19,37,521,5,99,2021-04-01 07:54:40.345000,6668AF37,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Full-Time,English,United Kingdom,Female,No
6064d3f7cc47d461b2fa66a8,6060e38b464a11d22c9a8314,APPROVED,2021-03-31 20:02:57.434000,2021-03-31 21:25:46.261000,4968.827,24,7,0,100,2021-04-01 07:54:56.487000,6668AF37,Romania,United Kingdom,"London, England ",Full-Time,,Romania,Female,No
6064d3f91df924bb03970ba8,6044042a6e2a5446e5829994,AWAITING REVIEW,2021-03-31 19:57:25.740000,2021-03-31 21:51:54.765000,6869.025,34,11,0,100,,6668AF37,Romania,United Kingdom,Scotland,Full-Time,,Romania,Male,No
6064d3fa724b130d80c29434,5747ac9d5bef980010b0414b,APPROVED,2021-03-31 19:59:02.047000,2021-03-31 21:54:11.404000,6909.357,50,1116,5,100,2021-04-01 07:54:57.427000,6668AF37,United Kingdom,United Kingdom,Scotland,Full-Time,English,United Kingdom,Male,No
6064d3fa798fdccdc714fe1a,5a622b2d13898300014b20d6,AWAITING REVIEW,2021-03-31 19:58:53.801000,2021-03-31 21:28:08.803000,5355.002,28,1280,9,99,,6668AF37,United Kingdom,United Kingdom,"London, England ",Full-Time,English,United Kingdom,Female,No
6064d3fafe5c4420d1a7df5f,605859cb7d0bcc5208ae2392,RETURNED,2021-03-31 20:02:35.765000,,146829.836273,20,11,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6064d3fd9fe244f4800f4f4c,58b718c7e38022000152c828,RETURNED,2021-03-31 19:56:57.110000,,147168.491349,27,323,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6064d3fe4abf8b27295eea5b,5eecdb2f8343cb0aa4ed34c6,RETURNED,2021-03-31 19:56:46.733000,,147178.868387,38,185,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6064d3fe71a19d1e8e2691d4,5efcb50255a06b097b8d5d29,TIMED-OUT,2021-03-31 19:56:46.436000,,147179.165423,33,177,1,100,,,United Kingdom,United Kingdom,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",DATA EXPIRED,DATA EXPIRED,United Kingdom,Male,No
6064d3fe8009780b139ce82e,5be1c6db93cab6000123baf9,RETURNED,2021-03-31 19:56:46.284000,,147179.325569,65,552,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6064d3fec6b7da780afa0694,5ea611dda778214a5e89fbf2,RETURNED,2021-03-31 19:56:48.025000,,147177.584642,19,148,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6064d3ffd12b608ebd2fcfe9,5eed2e5c2c93d5142aa8fc0e,RETURNED,2021-03-31 19:56:47.823000,,147177.786681,45,219,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6064d4008009780b139ce82f,5f71d4cc0d3ce7052e72c357,AWAITING REVIEW,2021-03-31 19:56:48.020000,2021-03-31 20:13:44.158000,1016.138,42,102,1,100,,NOCODE,Poland,United Kingdom,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",Full-Time,DATA EXPIRED,Poland,Female,Yes
6064d40250e80d8ad1e8aece,6000931660f664133a3fb0e4,RETURNED,2021-03-31 20:06:50.218000,,146575.40016,24,76,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6064d4027cd41b8b7d5b70c5,5c78452cac90ae000144bb23,RETURNED,2021-03-31 19:56:53.905000,,147171.713234,23,291,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6064d40315724509b090d23a,5d7695cc7ae60f001bc4bde6,AWAITING REVIEW,2021-03-31 19:57:34.795000,2021-03-31 20:07:18.647000,583.852,33,528,2,100,,NOCODE,United Kingdom,United Kingdom,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Full-Time,English,United Kingdom,Female,No
6064d40381f2b7915c54dab5,602aabfa9dc535105418b904,RETURNED,2021-03-31 19:57:18.367000,,147147.259121,18,39,2,97,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6064d403884bd4fe4b958fbc,5c1d234d89f035000172aeb7,RETURNED,2021-03-31 20:07:04.212000,,146561.414198,24,757,4,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6064d403d2fb4a3763f0ef82,5f32a9f8d5256d000a41a2d5,APPROVED,2021-03-31 20:00:47.048000,2021-03-31 22:03:45.753000,7378.705,38,210,0,100,2021-04-01 07:55:02.180000,6668AF37,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Full-Time,DATA EXPIRED,United Kingdom,Female,No
6064d404354947f5fd6e6dc3,56ce42d9465e580006846f57,APPROVED,2021-03-31 20:01:31.829000,2021-03-31 21:10:27.889000,4136.06,53,2280,19,99,2021-04-01 07:51:20.781000,6668AF37,United Kingdom,United Kingdom,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)",Full-Time,English,United Kingdom,Male,No
6064d40498f0dc04e9a8fe1c,5b9d4e1f01a3d30001c71022,RETURNED,2021-03-31 19:56:55.268000,,147170.374949,21,257,3,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6064d404dc36fe08f939fc93,5ff85878c73c7102572ca342,APPROVED,2021-03-31 19:58:05.322000,2021-04-01 09:07:53.471000,47388.149,60,117,1,100,2021-04-01 09:07:53.628000,Manual Completion,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Full-Time,DATA EXPIRED,United Kingdom,Male,No
6064d40554d4f7588dfc138f,5fe247ccdfcbb9dda902109d,AWAITING REVIEW,2021-03-31 19:56:53.289000,2021-03-31 21:41:33.867000,6280.578,27,74,0,100,,6668AF37,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Full-Time,DATA EXPIRED,United Kingdom,Female,No
6064d405d78240a9dfcdb4ee,6009aa37bb4a7c0253712de4,APPROVED,2021-03-31 19:56:53.483000,2021-03-31 21:21:26.787000,5073.304,25,63,0,100,2021-04-01 09:32:17.723000,6668AF37,Bangladesh,United Kingdom,"Yorkshire and the Humber, England (East Riding, North Lincolnshire and Yorkshire)",Unemployed (and job seeking),DATA EXPIRED,Bangladesh,Male,Yes
6064d406f1ed5c3c4309f12f,60382302ed55291413dc6a88,APPROVED,2021-03-31 19:57:05.512000,2021-03-31 21:52:09.437000,6903.925,26,29,0,100,2021-04-01 07:55:03.934000,6668AF37,Canada,United Kingdom,,Full-Time,DATA EXPIRED,Canada,Female,No
6064d408351860a2eae2c309,57deea8589fea700017296dc,RETURNED,2021-03-31 19:56:58.004000,,147167.669934,61,822,6,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6064d40877b43c19e13658fa,5df15288b1fb0506c5fc6afb,APPROVED,2021-03-31 19:56:56.843000,2021-03-31 21:30:58.304000,5641.461,32,526,0,100,2021-04-01 07:55:05.041000,6668AF37,United Kingdom,United Kingdom,"Yorkshire and the Humber, England (East Riding, North Lincolnshire and Yorkshire)",Full-Time,English,United Kingdom,Female,No
6064d40981f2b7915c54dab6,5edf94ca75bfd126354e13b9,RETURNED,2021-03-31 20:07:04.212000,,146561.470039,34,282,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6064d40aa166fabfd91d06a1,5ea07fc202b8bd05bb59bc38,RETURNED,2021-03-31 19:58:56.988000,,147048.694132,72,331,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
